target_id	X0	mu_k	GI	k_obs	Xt	Reads_t	Log2fc
0	500	1.000	1.000	1.022	144633.445	724	0.618
0_1	500	1.000	1.000	0.967	106422.507	532	0.174
0_2	500	1.000	1.000	1.015	139472.600	698	0.565
0_3	500	1.000	1.000	1.016	139585.024	699	0.567
0_4	500	1.000	1.000	1.015	139331.053	697	0.563
0_5	500	1.000	1.000	0.961	103342.921	517	0.132
0_6	500	1.000	1.000	1.024	146624.270	734	0.638
0_7	500	1.000	1.000	1.066	184915.966	926	0.973
0_8	500	1.000	1.000	0.942	92841.811	464	-0.024
0_9	500	1.000	1.000	0.949	96325.842	482	0.031
0_10	500	1.000	1.000	1.010	135063.376	676	0.519
0_11	500	1.000	1.000	1.000	128348.572	642	0.445
0_12	500	1.000	1.000	0.978	113463.686	568	0.268
0_13	500	0.576	0.576	0.513	8614.972	43	-3.455
0_14	500	1.000	1.000	1.043	162832.949	815	0.789
0_15	500	1.000	1.000	0.991	121524.615	608	0.366
0_16	500	1.000	1.000	1.007	133235.688	667	0.500
0_17	500	1.000	1.000	0.988	119868.998	600	0.347
0_18	500	1.000	1.000	1.057	175414.852	878	0.896
0_19	500	1.000	1.000	1.063	181206.695	907	0.943
0_20	500	1.000	1.000	0.914	79644.708	398	-0.245
0_21	500	1.000	1.000	0.997	125591.635	628	0.413
0_22	500	1.000	1.000	0.951	97616.484	488	0.049
0_23	500	1.000	1.000	0.980	114580.276	573	0.281
0_24	500	1.000	1.000	1.141	279272.968	1398	1.567
0_25	500	1.000	1.000	1.058	176728.184	885	0.908
0_26	500	1.000	1.000	1.000	127707.262	639	0.438
0_27	500	1.000	1.000	0.932	87895.494	440	-0.100
0_28	500	1.000	1.000	0.990	121376.478	607	0.364
0_29	500	1.000	1.000	1.033	153299.782	767	0.701
0_30	500	1.000	1.000	1.065	183221.233	917	0.959
0_31	500	1.000	1.000	0.975	111203.661	556	0.237
0_32	500	1.000	1.000	1.060	178764.986	895	0.924
0_33	500	1.000	1.000	1.017	140501.743	703	0.576
0_34	500	1.000	1.000	1.096	217694.806	1090	1.208
0_35	500	1.000	1.000	1.041	160800.243	805	0.771
0_36	500	1.000	1.000	1.020	142673.811	714	0.598
0_37	500	1.000	1.000	1.016	139543.618	698	0.565
0_38	500	1.000	1.000	1.009	134627.332	674	0.515
0_39	500	1.000	1.000	0.990	121210.509	607	0.364
0_40	500	1.000	1.000	1.013	137315.741	687	0.542
0_41	500	1.000	1.000	1.007	132842.636	665	0.495
0_42	500	1.000	1.000	0.966	106164.883	531	0.171
0_43	500	1.000	1.000	0.931	87544.583	438	-0.107
0_44	500	1.000	1.000	1.021	143726.796	719	0.608
0_45	500	1.000	1.000	0.986	118677.464	594	0.333
0_46	500	1.000	1.000	1.064	182857.022	915	0.956
0_47	500	1.000	1.000	0.977	112948.703	565	0.260
0_48	500	1.000	1.000	0.989	120277.391	602	0.352
0_49	500	1.000	1.000	1.005	131714.078	659	0.482
0_50	500	1.000	1.000	0.987	119310.300	597	0.340
0_51	500	1.000	1.000	0.993	122804.076	614	0.380
0_52	500	1.000	1.000	1.067	185360.886	928	0.976
0_53	500	1.000	1.000	0.995	124472.670	623	0.401
0_54	500	1.000	1.000	0.941	92069.213	461	-0.033
0_55	500	1.000	1.000	1.012	136687.165	684	0.536
0_56	500	1.000	1.000	0.993	123197.455	616	0.385
0_57	500	0.838	0.838	0.868	61501.169	307	-0.620
0_58	500	1.000	1.000	1.066	185032.942	926	0.973
0_59	500	1.000	1.000	0.975	111396.623	557	0.240
0_60	500	1.000	1.000	0.959	101833.826	509	0.110
0_61	500	1.000	1.000	1.021	143986.319	721	0.612
0_62	500	1.000	1.000	1.079	198134.608	992	1.072
0_63	500	1.000	1.000	1.008	134012.277	671	0.508
0_64	500	1.000	1.000	1.031	152098.708	761	0.690
0_65	500	1.000	1.000	1.016	139884.427	700	0.569
0_66	500	1.000	1.000	1.137	273283.677	1368	1.536
0_67	500	1.000	1.000	1.014	138530.942	693	0.555
0_68	500	1.000	1.000	0.966	106253.299	532	0.174
0_69	500	1.000	1.000	1.041	160427.869	803	0.768
0_70	500	1.000	1.000	0.987	119225.576	597	0.340
0_71	500	1.000	1.000	0.935	89391.090	447	-0.078
0_72	500	1.000	1.000	1.015	139095.981	696	0.561
0_73	500	1.000	1.000	1.108	232601.208	1164	1.303
0_74	500	1.000	1.000	0.991	121654.254	609	0.369
0_75	500	1.000	1.000	1.147	288631.345	1445	1.615
0_76	500	1.000	1.000	1.107	231845.847	1161	1.299
0_77	500	1.000	1.000	0.988	119696.652	599	0.345
0_78	500	1.000	1.000	1.002	129091.038	646	0.454
0_79	500	1.000	1.000	0.933	88473.089	443	-0.091
0_80	500	1.000	1.000	1.031	151767.343	760	0.688
0_81	500	1.000	1.000	0.942	92641.193	463	-0.027
0_82	500	1.000	1.000	1.015	139135.047	696	0.561
0_83	500	1.000	1.000	0.947	95225.572	476	0.013
0_84	500	1.000	1.000	0.932	87561.975	438	-0.107
0_85	500	1.000	1.000	0.955	99666.816	499	0.081
0_86	500	1.000	1.000	1.012	136859.040	685	0.538
0_87	500	1.000	1.000	0.967	106615.739	533	0.176
0_88	500	1.000	1.000	1.002	129102.859	646	0.454
0_89	500	1.000	1.000	1.033	153850.931	770	0.707
0_90	500	1.000	1.000	0.968	107429.257	537	0.187
0_91	500	1.000	1.000	1.042	161206.597	807	0.775
0_92	500	1.000	1.000	1.072	190284.069	952	1.013
0_93	500	1.000	1.000	0.953	98806.055	494	0.067
0_94	500	1.000	1.000	1.024	146500.755	733	0.636
0_95	500	1.000	1.000	1.087	207588.737	1039	1.139
0_96	500	1.000	1.000	1.022	144711.324	724	0.618
0_97	500	1.000	1.000	1.054	172742.814	865	0.875
0_98	500	1.000	1.000	1.035	155548.220	778	0.722
0_99	500	1.000	1.000	1.069	187666.661	939	0.993
0_100	500	1.000	1.000	0.971	108876.557	545	0.208
0_101	500	1.000	1.000	0.954	98987.096	495	0.070
0_102	500	1.000	1.000	0.978	113459.165	568	0.268
0_103	500	1.000	1.000	1.067	185568.582	929	0.978
0_104	500	1.000	1.000	1.026	147862.912	740	0.650
0_105	500	1.000	1.000	0.949	96387.412	482	0.031
0_106	500	1.000	1.000	0.900	73613.784	368	-0.358
0_107	500	1.000	1.000	1.024	146206.925	732	0.634
0_108	500	1.000	1.000	0.992	122609.196	614	0.380
0_109	500	0.725	0.725	0.699	24117.438	120	-1.975
0_110	500	1.000	1.000	0.989	120152.731	601	0.349
0_111	500	1.000	1.000	1.010	135404.660	678	0.523
0_112	500	1.000	1.000	0.965	105216.289	526	0.157
0_113	500	1.000	1.000	1.048	167183.140	837	0.827
0_114	500	1.000	1.000	1.077	196327.026	983	1.059
0_115	500	1.000	1.000	0.963	104194.972	521	0.143
0_116	500	1.000	1.000	1.022	144370.728	722	0.614
0_117	500	1.000	1.000	0.996	125192.096	626	0.408
0_118	500	1.000	1.000	1.028	149836.722	750	0.669
0_119	500	1.000	1.000	1.010	135238.974	677	0.521
0_120	500	1.000	1.000	0.946	94743.616	474	0.007
0_121	500	1.000	1.000	1.030	151339.841	757	0.682
0_122	500	1.000	1.000	0.928	85997.631	430	-0.134
0_123	500	1.000	1.000	1.017	140955.165	705	0.580
0_124	500	1.000	1.000	0.962	103663.559	519	0.138
0_125	500	1.000	1.000	1.109	233874.729	1171	1.312
0_126	500	1.000	1.000	0.942	92914.886	465	-0.021
0_127	500	1.000	1.000	1.038	158065.906	791	0.746
0_128	500	1.000	1.000	0.972	109547.231	548	0.216
0_129	500	1.000	1.000	1.022	144434.093	723	0.616
0_130	500	1.000	1.000	1.027	149032.914	746	0.661
0_131	500	1.000	1.000	1.047	165910.125	830	0.815
0_132	500	1.000	1.000	0.955	100009.644	500	0.084
0_133	500	1.000	1.000	1.004	130553.426	653	0.469
0_134	500	1.000	1.000	1.041	160609.687	804	0.769
0_135	500	1.000	1.000	1.074	193348.611	968	1.037
0_136	500	1.000	1.000	0.961	103271.014	517	0.132
0_137	500	1.000	1.000	1.007	133226.812	667	0.500
0_138	500	1.000	1.000	1.009	134239.039	672	0.511
0_139	500	1.000	1.000	0.988	119839.083	600	0.347
0_140	500	1.000	1.000	0.957	100698.976	504	0.096
0_141	500	1.000	1.000	1.049	167696.252	839	0.831
0_142	500	1.000	1.000	1.015	139027.750	696	0.561
0_143	500	1.000	1.000	0.981	114954.277	575	0.286
0_144	500	1.000	1.000	1.080	199624.639	999	1.083
0_145	500	1.000	1.000	0.983	116734.850	584	0.308
0_146	500	1.000	1.000	0.902	74505.182	373	-0.339
0_147	500	1.000	1.000	0.981	115060.385	576	0.288
0_148	500	1.000	1.000	0.965	105313.154	527	0.160
0_149	500	1.000	1.000	0.934	88548.166	443	-0.091
0_150	500	0.864	1.000	0.836	51645.888	258	-0.871
0_151	500	0.853	1.000	0.773	36292.854	181	-1.382
0_152	500	0.736	1.000	0.727	28117.618	140	-1.752
0_153	500	0.668	1.000	0.582	12634.912	63	-2.904
0_154	500	0.564	1.000	0.604	14275.624	71	-2.732
0_155	500	0.942	1.000	1.054	172225.045	862	0.870
0_156	500	0.755	1.000	0.807	43963.056	220	-1.100
0_157	500	0.734	1.000	0.759	33692.510	168	-1.489
0_158	500	0.760	1.000	0.797	41497.107	207	-1.188
0_159	500	0.889	1.000	0.903	74880.740	374	-0.335
0_160	500	0.865	1.000	0.934	88748.595	444	-0.087
0_161	500	0.673	1.000	0.694	23401.712	117	-2.011
0_162	500	0.908	1.000	0.874	63666.465	318	-0.569
0_163	500	0.901	1.000	0.857	58075.241	290	-0.702
0_164	500	0.579	1.000	0.587	12960.987	64	-2.882
0_165	500	0.969	1.000	0.953	98899.609	495	0.070
0_166	500	0.752	1.000	0.765	34856.279	174	-1.439
0_167	500	0.610	1.000	0.620	15554.376	77	-2.615
0_168	500	0.823	1.000	0.751	32206.329	161	-1.551
0_169	500	0.803	1.000	0.826	48639.941	243	-0.957
0_170	500	0.540	1.000	0.529	9385.379	47	-3.327
0_171	500	0.526	1.000	0.549	10514.662	52	-3.181
0_172	500	0.660	1.000	0.614	15075.087	75	-2.653
0_173	500	0.929	1.000	0.822	47812.248	239	-0.981
0_174	500	0.531	1.000	0.504	8164.652	40	-3.560
0_175	500	0.980	1.000	1.018	141286.756	707	0.584
0_176	500	0.569	1.000	0.607	14480.461	72	-2.712
0_177	500	0.970	1.000	0.894	71301.544	357	-0.402
0_178	500	0.887	1.000	0.951	97644.412	488	0.049
0_179	500	0.868	1.000	0.919	81703.204	409	-0.206
0_180	500	0.758	1.000	0.750	32029.475	160	-1.560
0_181	500	0.714	1.000	0.688	22669.615	113	-2.062
0_182	500	0.733	1.000	0.743	30768.039	154	-1.615
0_183	500	0.967	1.000	0.941	92188.780	461	-0.033
0_184	500	0.669	1.000	0.637	17144.998	85	-2.472
0_185	500	0.694	1.000	0.718	26741.486	133	-1.826
0_186	500	0.816	1.000	0.802	42688.487	213	-1.147
0_187	500	0.991	1.000	0.983	116718.522	584	0.308
0_188	500	0.744	1.000	0.769	35551.188	178	-1.406
0_189	500	0.618	1.000	0.607	14511.511	72	-2.712
0_190	500	0.512	1.000	0.490	7564.134	37	-3.672
0_191	500	0.799	1.000	0.789	39830.306	199	-1.245
0_192	500	0.886	1.000	0.916	80225.277	401	-0.234
0_193	500	0.947	1.000	0.978	113477.838	568	0.268
0_194	500	0.947	1.000	0.970	108151.595	541	0.198
0_195	500	0.961	1.000	0.925	84489.003	423	-0.157
0_196	500	0.714	1.000	0.626	16054.017	80	-2.560
0_197	500	0.942	1.000	1.002	129465.090	648	0.458
0_198	500	0.534	1.000	0.555	10853.145	54	-3.127
0_199	500	0.991	1.000	0.978	113519.405	568	0.268
1	500	1.000	1.000	0.977	112640.062	564	0.258
1_2	500	1.000	1.000	1.033	153502.207	768	0.703
1_3	500	1.000	1.000	0.985	117815.827	590	0.323
1_4	500	1.000	1.000	1.014	138356.925	692	0.553
1_5	500	1.000	1.000	1.005	131322.876	657	0.478
1_6	500	1.000	1.000	0.989	120554.561	603	0.354
1_7	500	1.000	1.000	0.954	99380.365	497	0.075
1_8	500	1.000	1.000	1.017	140670.001	704	0.578
1_9	500	1.000	1.000	0.852	56264.720	281	-0.747
1_10	500	1.000	1.000	1.031	152070.238	761	0.690
1_11	500	1.000	1.000	1.103	227058.467	1137	1.269
1_12	500	1.000	1.000	0.978	113160.721	566	0.263
1_13	500	1.000	1.000	1.080	198982.800	996	1.078
1_14	500	1.000	1.000	0.982	115747.429	579	0.296
1_15	500	1.000	1.000	1.014	138376.149	692	0.553
1_16	500	1.000	1.000	0.967	106646.204	534	0.179
1_17	500	1.000	1.000	0.983	116296.900	582	0.303
1_18	500	1.000	1.000	0.971	109134.896	546	0.211
1_19	500	0.829	0.829	0.684	22150.715	110	-2.100
1_20	500	1.000	1.000	1.011	135814.449	680	0.528
1_21	500	1.000	1.000	0.870	62340.383	312	-0.596
1_22	500	1.000	1.000	1.038	157620.865	789	0.742
1_23	500	1.000	1.000	1.091	211751.236	1060	1.168
1_24	500	1.000	1.000	1.006	132142.512	661	0.487
1_25	500	1.000	1.000	1.027	148419.314	743	0.655
1_26	500	1.000	1.000	0.965	105493.433	528	0.163
1_27	500	1.000	1.000	0.992	122740.752	614	0.380
1_28	500	1.000	1.000	0.941	92104.806	461	-0.033
1_29	500	1.000	1.000	1.006	132316.950	662	0.489
1_30	500	1.000	1.000	0.983	116662.816	584	0.308
1_31	500	1.000	1.000	1.061	179768.144	900	0.932
1_32	500	1.000	1.000	1.025	147024.792	736	0.642
1_33	500	1.000	1.000	1.003	130228.763	652	0.467
1_34	500	1.000	1.000	1.000	127723.542	639	0.438
1_35	500	1.000	1.000	1.020	143141.764	716	0.602
1_36	500	1.000	1.000	0.975	111620.915	558	0.242
1_37	500	1.000	1.000	0.942	92629.649	463	-0.027
1_38	500	1.000	1.000	0.955	99777.599	499	0.081
1_39	500	1.000	1.000	1.003	130441.825	653	0.469
1_40	500	1.000	1.000	1.081	201099.605	1007	1.094
1_41	500	1.000	1.000	1.023	145281.090	727	0.624
1_42	500	1.000	1.000	1.022	144935.838	725	0.620
1_43	500	1.000	1.000	1.099	221692.949	1110	1.235
1_44	500	1.000	1.000	1.030	150750.440	754	0.677
1_45	500	1.000	1.000	0.955	99953.728	500	0.084
1_46	500	1.000	1.000	0.927	85206.114	426	-0.147
1_47	500	1.000	1.000	0.975	111324.974	557	0.240
1_48	500	1.000	1.000	0.986	118143.386	591	0.325
1_49	500	1.000	1.000	0.938	90669.697	454	-0.055
1_50	500	1.000	1.000	1.015	139431.405	698	0.565
1_51	500	1.000	1.000	0.970	108360.944	542	0.200
1_52	500	1.000	1.000	0.993	122890.519	615	0.383
1_53	500	1.000	1.000	1.051	169438.938	848	0.846
1_54	500	1.000	1.000	1.056	175095.049	876	0.893
1_55	500	1.000	1.000	0.951	97356.983	487	0.046
1_56	500	1.000	1.000	0.993	123444.454	618	0.390
1_57	500	1.000	1.000	1.002	129475.237	648	0.458
1_58	500	1.000	1.000	1.026	147545.432	738	0.646
1_59	500	1.000	1.000	1.023	145690.103	729	0.628
1_60	500	0.612	0.612	0.583	12691.181	63	-2.904
1_61	500	1.000	1.000	1.034	154395.703	773	0.713
1_62	500	1.000	1.000	0.982	115544.375	578	0.293
1_63	500	1.000	1.000	1.001	128375.841	642	0.445
1_64	500	1.000	1.000	1.023	145391.479	728	0.626
1_65	500	1.000	1.000	1.027	148809.946	745	0.659
1_66	500	1.000	1.000	0.973	110001.400	550	0.222
1_67	500	1.000	1.000	0.972	109335.859	547	0.214
1_68	500	1.000	1.000	1.025	147130.062	736	0.642
1_69	500	1.000	1.000	1.024	146536.904	733	0.636
1_70	500	1.000	1.000	0.961	103330.053	517	0.132
1_71	500	1.000	1.000	0.911	78173.342	391	-0.271
1_72	500	1.000	1.000	1.005	131421.522	658	0.480
1_73	500	1.000	1.000	0.955	99827.612	499	0.081
1_74	500	1.000	1.000	0.924	83904.456	420	-0.168
1_75	500	1.000	1.000	0.994	123974.407	620	0.394
1_76	500	1.000	1.000	0.960	102351.672	512	0.118
1_77	500	1.000	1.000	1.062	180477.547	903	0.937
1_78	500	1.000	1.000	1.056	174515.346	873	0.888
1_79	500	0.666	0.666	0.644	17768.722	88	-2.422
1_80	500	1.000	1.000	1.139	277215.535	1388	1.557
1_81	500	1.000	1.000	1.000	127744.299	639	0.438
1_82	500	1.000	1.000	0.979	114186.549	571	0.276
1_83	500	1.000	1.000	0.976	111785.841	559	0.245
1_84	500	1.000	1.000	1.146	287251.510	1438	1.608
1_85	500	1.000	1.000	1.063	181118.195	907	0.943
1_86	500	1.000	1.000	0.993	123069.917	616	0.385
1_87	500	1.000	1.000	0.972	109623.038	548	0.216
1_88	500	1.000	1.000	1.104	228120.049	1142	1.276
1_89	500	0.700	0.700	0.663	19783.829	99	-2.252
1_90	500	1.000	1.000	1.039	158605.902	794	0.751
1_91	500	1.000	1.000	0.902	74200.703	371	-0.346
1_92	500	1.000	1.000	0.944	94050.589	470	-0.005
1_93	500	1.000	1.000	0.980	114540.129	573	0.281
1_94	500	1.000	1.000	1.094	215242.331	1077	1.191
1_95	500	1.000	1.000	1.012	136719.814	684	0.536
1_96	500	1.000	1.000	1.020	143402.487	718	0.606
1_97	500	1.000	1.000	0.995	124767.607	624	0.404
1_98	500	1.000	1.000	0.996	125512.280	628	0.413
1_99	500	1.000	1.000	1.042	161315.501	807	0.775
1_100	500	1.000	1.000	1.006	132525.122	663	0.491
1_101	500	1.000	1.000	0.934	88596.590	443	-0.091
1_102	500	1.000	1.000	1.026	147447.121	738	0.646
1_103	500	1.000	1.000	0.960	102722.209	514	0.124
1_104	500	1.000	1.000	1.055	173845.008	870	0.883
1_105	500	1.000	1.000	1.023	145143.327	726	0.622
1_106	500	1.000	1.000	0.982	115568.245	578	0.293
1_107	500	1.000	1.000	0.947	95403.478	477	0.016
1_108	500	1.000	1.000	0.941	92283.198	462	-0.030
1_109	500	1.000	1.000	0.985	118022.114	591	0.325
1_110	500	1.000	1.000	0.961	103092.465	516	0.129
1_111	500	1.000	1.000	0.925	84452.941	422	-0.161
1_112	500	1.000	1.000	1.050	168689.551	844	0.839
1_113	500	0.861	0.861	0.847	54834.799	274	-0.784
1_114	500	1.000	1.000	1.004	130908.647	655	0.474
1_115	500	1.000	1.000	1.102	225195.955	1127	1.257
1_116	500	1.000	1.000	1.029	150092.473	751	0.671
1_117	500	1.000	1.000	0.928	85786.017	429	-0.137
1_118	500	1.000	1.000	1.024	146372.262	733	0.636
1_119	500	1.000	1.000	0.990	120999.657	605	0.359
1_120	500	1.000	1.000	0.961	102828.912	514	0.124
1_121	500	1.000	1.000	0.896	71846.338	359	-0.394
1_122	500	1.000	1.000	1.080	200019.576	1001	1.085
1_123	500	1.000	1.000	0.906	76056.895	380	-0.312
1_124	500	1.000	1.000	1.052	171140.763	857	0.861
1_125	500	1.000	1.000	1.049	167925.787	840	0.832
1_126	500	1.000	1.000	1.024	146496.991	733	0.636
1_127	500	1.000	1.000	0.928	86080.374	431	-0.130
1_128	500	1.000	1.000	0.977	112676.514	564	0.258
1_129	500	1.000	1.000	1.024	146581.664	734	0.638
1_130	500	1.000	1.000	0.952	98237.738	491	0.058
1_131	500	1.000	1.000	1.035	155711.413	779	0.724
1_132	500	0.520	0.520	0.588	13027.093	65	-2.859
1_133	500	1.000	1.000	1.033	153821.284	770	0.707
1_134	500	1.000	1.000	0.903	74604.002	373	-0.339
1_135	500	1.000	1.000	0.942	92994.957	465	-0.021
1_136	500	1.000	1.000	0.996	125002.905	625	0.406
1_137	500	1.000	1.000	0.967	106376.019	532	0.174
1_138	500	1.000	1.000	1.109	234807.689	1175	1.317
1_139	500	1.000	1.000	1.075	193594.460	969	1.039
1_140	500	0.861	0.861	0.899	73240.970	366	-0.366
1_141	500	1.000	1.000	0.934	88952.342	445	-0.084
1_142	500	1.000	1.000	1.019	142045.757	711	0.592
1_143	500	1.000	1.000	0.962	103534.721	518	0.135
1_144	500	1.000	1.000	1.007	133237.489	667	0.500
1_145	500	1.000	1.000	1.070	188356.324	943	0.999
1_146	500	1.000	1.000	1.098	219885.986	1101	1.223
1_147	500	1.000	1.000	1.048	167338.110	837	0.827
1_148	500	1.000	1.000	0.977	112391.390	562	0.253
1_149	500	1.000	1.000	0.912	78718.647	394	-0.260
1_150	500	0.864	1.000	0.863	59744.040	299	-0.658
1_151	500	0.853	1.000	0.838	52006.708	260	-0.859
1_152	500	0.736	1.000	0.689	22824.882	114	-2.049
1_153	500	0.668	1.000	0.607	14519.012	72	-2.712
1_154	500	0.564	1.000	0.627	16206.951	81	-2.542
1_155	500	0.942	1.000	0.912	78778.510	394	-0.260
1_156	500	0.755	1.000	0.725	27877.414	139	-1.763
1_157	500	0.734	1.000	0.690	22898.256	114	-2.049
1_158	500	0.760	1.000	0.684	22236.792	111	-2.087
1_159	500	0.889	1.000	0.938	90952.105	455	-0.052
1_160	500	0.865	1.000	0.821	47546.874	238	-0.987
1_161	500	0.673	1.000	0.664	19842.315	99	-2.252
1_162	500	0.908	1.000	0.873	63136.664	316	-0.578
1_163	500	0.901	1.000	0.940	91856.679	460	-0.036
1_164	500	0.579	1.000	0.469	6729.215	33	-3.837
1_165	500	0.969	1.000	0.917	80923.495	405	-0.220
1_166	500	0.752	1.000	0.737	29820.630	149	-1.663
1_167	500	0.610	1.000	0.538	9849.523	49	-3.267
1_168	500	0.823	1.000	0.879	65570.184	328	-0.524
1_169	500	0.803	1.000	0.889	69324.289	347	-0.443
1_170	500	0.540	1.000	0.466	6607.877	33	-3.837
1_171	500	0.526	1.000	0.596	13657.078	68	-2.794
1_172	500	0.471	0.713	0.466	6610.419	33	-3.837
1_173	500	0.929	1.000	1.012	136787.029	685	0.538
1_174	500	0.531	1.000	0.625	16035.386	80	-2.560
1_175	500	0.980	1.000	1.071	189298.663	947	1.005
1_176	500	0.569	1.000	0.520	8920.313	44	-3.422
1_177	500	0.970	1.000	1.021	143831.348	720	0.610
1_178	500	0.887	1.000	0.967	106445.705	533	0.176
1_179	500	0.868	1.000	0.871	62657.073	313	-0.592
1_180	500	0.758	1.000	0.714	26165.679	131	-1.848
1_181	500	0.714	1.000	0.694	23436.031	117	-2.011
1_182	500	0.733	1.000	0.732	28992.992	145	-1.702
1_183	500	0.967	1.000	0.969	107915.539	540	0.195
1_184	500	0.669	1.000	0.634	16858.241	84	-2.489
1_185	500	0.694	1.000	0.648	18152.526	90	-2.390
1_186	500	0.816	1.000	0.872	62779.132	314	-0.587
1_187	500	0.991	1.000	1.053	171734.176	860	0.866
1_188	500	0.744	1.000	0.743	30822.753	154	-1.615
1_189	500	0.618	1.000	0.601	13988.867	70	-2.752
1_190	500	0.512	1.000	0.470	6788.316	33	-3.837
1_191	500	0.799	1.000	0.785	38762.981	194	-1.282
1_192	500	0.886	1.000	0.954	99010.555	495	0.070
1_193	500	0.947	1.000	0.910	77632.842	388	-0.282
1_194	500	0.947	1.000	1.026	148150.666	741	0.652
1_195	500	0.961	1.000	0.895	71582.036	358	-0.398
1_196	500	0.714	1.000	0.773	36364.142	182	-1.374
1_197	500	0.942	1.000	0.919	81566.235	408	-0.209
1_198	500	0.534	1.000	0.519	8881.365	44	-3.422
1_199	500	0.991	1.000	1.000	128029.632	641	0.442
2	500	1.000	1.000	0.953	98508.849	493	0.064
2_3	500	1.000	1.000	1.029	150112.226	751	0.671
2_4	500	1.000	1.000	1.049	168054.331	841	0.834
2_5	500	1.000	1.000	1.041	160267.237	802	0.766
2_6	500	1.000	1.000	1.052	170664.029	854	0.856
2_7	500	1.000	1.000	0.919	81546.949	408	-0.209
2_8	500	1.000	1.000	0.921	82507.765	413	-0.192
2_9	500	1.000	1.000	1.010	135060.959	676	0.519
2_10	500	1.000	1.000	0.995	124673.814	624	0.404
2_11	500	1.000	1.000	0.902	74386.156	372	-0.343
2_12	500	1.000	1.000	0.958	101164.517	506	0.101
2_13	500	1.000	1.000	0.995	124614.617	624	0.404
2_14	500	1.000	1.000	1.108	232962.447	1166	1.306
2_15	500	1.000	1.000	0.995	124449.959	623	0.401
2_16	500	1.000	1.000	1.021	143515.903	718	0.606
2_17	500	1.000	1.000	0.987	118858.386	595	0.335
2_18	500	1.000	1.000	1.010	135595.213	679	0.526
2_19	500	1.000	1.000	0.966	105847.328	530	0.168
2_20	500	1.000	1.000	0.918	81168.166	406	-0.216
2_21	500	1.000	1.000	1.032	152751.831	764	0.696
2_22	500	1.000	1.000	1.061	179525.383	899	0.930
2_23	500	1.000	1.000	0.896	72006.451	360	-0.390
2_24	500	1.000	1.000	1.028	149480.932	748	0.665
2_25	500	1.000	1.000	0.946	94758.624	474	0.007
2_26	500	1.000	1.000	1.007	133173.505	666	0.498
2_27	500	1.000	1.000	1.053	171363.082	858	0.863
2_28	500	1.000	1.000	0.967	106692.533	534	0.179
2_29	500	1.000	1.000	0.954	99421.735	497	0.075
2_30	500	1.000	1.000	1.085	204554.527	1024	1.118
2_31	500	1.000	1.000	1.035	155711.010	779	0.724
2_32	500	1.000	1.000	1.010	135516.483	678	0.523
2_33	500	1.000	1.000	1.126	257303.675	1288	1.449
2_34	500	1.000	1.000	0.927	85535.827	428	-0.140
2_35	500	1.000	1.000	1.000	127878.952	640	0.440
2_36	500	1.000	1.000	1.004	130786.380	654	0.471
2_37	500	1.000	1.000	0.978	113407.841	567	0.265
2_38	500	1.000	1.000	1.021	144166.272	721	0.612
2_39	500	1.000	1.000	1.053	172183.265	862	0.870
2_40	500	1.000	1.000	0.964	104576.013	523	0.149
2_41	500	1.000	1.000	0.994	123578.826	618	0.390
2_42	500	1.000	1.000	0.995	124341.521	622	0.399
2_43	500	1.000	1.000	1.002	129125.417	646	0.454
2_44	500	1.000	1.000	0.961	103162.010	516	0.129
2_45	500	1.000	1.000	1.012	136851.107	685	0.538
2_46	500	1.000	1.000	1.017	140608.829	704	0.578
2_47	500	1.000	1.000	0.985	118062.829	591	0.325
2_48	500	1.000	1.000	1.063	181149.551	907	0.943
2_49	500	1.000	1.000	0.854	56842.029	284	-0.732
2_50	500	1.000	1.000	1.055	173377.422	868	0.880
2_51	500	1.000	1.000	1.017	140893.444	705	0.580
2_52	500	1.000	1.000	0.902	74365.909	372	-0.343
2_53	500	1.000	1.000	1.085	205594.120	1029	1.125
2_54	500	1.000	1.000	1.011	135810.206	680	0.528
2_55	500	1.000	1.000	1.026	147613.264	739	0.648
2_56	500	1.000	1.000	1.064	182264.413	912	0.951
2_57	500	1.000	1.000	1.070	188858.340	945	1.002
2_58	500	1.000	1.000	1.007	132984.308	665	0.495
2_59	500	1.000	1.000	1.052	170437.616	853	0.855
2_60	500	1.000	1.000	0.984	116965.682	585	0.311
2_61	500	1.000	1.000	1.008	133642.616	669	0.504
2_62	500	1.000	1.000	1.016	139887.358	700	0.569
2_63	500	1.000	1.000	0.950	97211.604	486	0.043
2_64	500	1.000	1.000	1.010	135593.425	679	0.526
2_65	500	1.000	1.000	1.027	148876.974	745	0.659
2_66	500	1.000	1.000	1.022	144432.676	723	0.616
2_67	500	1.000	1.000	0.975	111451.160	558	0.242
2_68	500	1.000	1.000	1.013	137537.323	688	0.545
2_69	500	1.000	1.000	1.014	138318.932	692	0.553
2_70	500	1.000	1.000	0.989	120123.202	601	0.349
2_71	500	1.000	1.000	1.027	148308.388	742	0.654
2_72	500	1.000	1.000	0.962	103821.858	519	0.138
2_73	500	1.000	1.000	0.984	117397.556	587	0.315
2_74	500	1.000	1.000	1.034	154543.111	773	0.713
2_75	500	1.000	1.000	0.999	127378.559	637	0.433
2_76	500	1.000	1.000	0.945	94502.494	473	0.004
2_77	500	1.000	1.000	0.979	113859.224	570	0.273
2_78	500	1.000	1.000	0.980	114804.689	574	0.283
