target_id	X0	mu_k	GI	k_obs	Xt	Reads_t	Log2fc
17_41	500	1.000	1.000	1.045	164484.687	823	0.803
17_42	500	1.000	1.000	1.051	169581.549	849	0.848
17_43	500	1.000	1.000	0.941	92337.691	462	-0.030
17_44	500	1.000	1.000	1.044	163692.069	819	0.796
17_45	500	1.000	1.000	0.989	120738.891	604	0.357
17_46	500	0.732	0.732	0.768	35355.690	177	-1.414
17_47	500	1.000	1.000	0.874	63534.097	318	-0.569
17_48	500	1.000	1.000	0.912	78687.414	394	-0.260
17_49	500	1.000	1.000	0.848	55088.409	275	-0.778
17_50	500	1.000	1.000	0.927	85417.813	427	-0.144
17_51	500	1.000	1.000	0.935	89197.336	446	-0.081
17_52	500	1.000	1.000	0.964	104849.902	525	0.154
17_53	500	1.000	1.000	1.017	140442.027	703	0.576
17_54	500	1.000	1.000	1.052	170493.774	853	0.855
17_55	500	1.000	1.000	0.971	109270.087	547	0.214
17_56	500	1.000	1.000	0.939	91141.694	456	-0.049
17_57	500	1.000	1.000	0.980	114647.766	574	0.283
17_58	500	1.000	1.000	1.009	134391.644	673	0.513
17_59	500	1.000	1.000	1.143	283551.334	1419	1.589
17_60	500	1.000	1.000	0.982	115548.928	578	0.293
17_61	500	1.000	1.000	1.091	211488.994	1059	1.167
17_62	500	1.000	1.000	0.908	76670.964	383	-0.301
17_63	500	1.000	1.000	0.963	103985.351	520	0.141
17_64	500	0.757	0.757	0.736	29651.188	148	-1.672
17_65	500	1.000	1.000	0.987	118988.440	595	0.335
17_66	500	1.000	1.000	0.914	79545.957	398	-0.245
17_67	500	1.000	1.000	1.021	143585.082	719	0.608
17_68	500	1.000	1.000	0.996	125152.326	626	0.408
17_69	500	1.000	1.000	1.070	188743.721	945	1.002
17_70	500	1.000	1.000	1.007	132768.553	664	0.493
17_71	500	1.000	1.000	1.057	176021.251	881	0.901
17_72	500	1.000	1.000	1.062	180229.750	902	0.935
17_73	500	1.000	1.000	0.955	99651.343	499	0.081
17_74	500	1.000	1.000	1.030	151030.008	756	0.680
17_75	500	1.000	1.000	0.991	121928.413	610	0.371
17_76	500	1.000	1.000	0.924	84136.460	421	-0.164
17_77	500	1.000	1.000	0.950	97115.649	486	0.043
17_78	500	1.000	1.000	1.038	158091.622	791	0.746
17_79	500	1.000	1.000	0.967	106826.150	534	0.179
17_80	500	1.000	1.000	0.952	97961.663	490	0.055
17_81	500	1.000	1.000	0.996	124933.708	625	0.406
17_82	500	1.000	1.000	1.125	255765.129	1280	1.440
17_83	500	1.000	1.000	1.037	157443.550	788	0.740
17_84	500	1.000	1.000	1.039	158619.049	794	0.751
17_85	500	1.000	1.000	0.974	111013.340	555	0.235
17_86	500	1.000	1.000	0.933	88518.540	443	-0.091
17_87	500	1.000	1.000	0.972	109822.016	549	0.219
17_88	500	1.000	1.000	1.051	169414.143	848	0.846
